county_name,year,median_aqi,max_aqi,good_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_pm25,days_ozone
Albany,2025,39,136,250,0,0,0,230,135
Bronx,2025,45,143,216,0,0,0,223,112
Chautauqua,2025,36,108,317,0,0,0,18,338
Dutchess,2025,34,140,342,0,0,0,0,364
Erie,2025,44,140,233,0,0,0,209,154
Essex,2025,41,159,306,1,0,0,40,325
Hamilton,2025,34,87,345,0,0,0,0,355
Jefferson,2025,34,87,336,0,0,0,0,355
Kings,2025,39,99,233,0,0,0,365,0
Monroe,2025,39,135,271,0,0,0,156,209
Nassau,2025,29,92,287,0,0,0,364,0
New York,2025,50,136,183,0,0,0,274,91
Niagara,2025,34,115,328,0,0,0,0,353
Oneida,2025,27,99,298,0,0,0,353,0
Onondaga,2025,36,125,298,0,0,0,109,249
Orange,2025,27,108,311,0,0,0,358,0
Oswego,2025,34,80,319,0,0,0,0,328
Putnam,2025,33,97,323,0,0,0,0,343
Queens,2025,44,154,232,1,0,0,180,146
Richmond,2025,41,129,270,0,0,0,191,174
Rockland,2025,37,136,312,0,0,0,128,237
Saratoga,2025,34,93,310,0,0,0,0,322
Steuben,2025,38,143,304,0,0,0,94,271
Suffolk,2025,41,154,265,2,0,0,110,255
Tompkins,2025,35,74,331,0,0,0,0,355
Wayne,2025,33,90,339,0,0,0,0,354
Westchester,2025,38,136,301,0,0,0,113,252
