county_fips,tract_fips,year,measure_id,measure_name,data_value,low_ci,high_ci,unit,total_pop
36119,36119014805,2023,OBESITY,Obesity among adults,22.6,19.7,25.4,%,4449
36005,36005038900,2023,STROKE,Stroke among adults,3.1,2.8,3.4,%,4819
36009,36009940302,2023,STROKE,Stroke among adults,4.4,3.9,4.8,%,3528
36047,36047116800,2023,STROKE,Stroke among adults,3.0,2.8,3.4,%,2273
36051,36051030900,2023,OBESITY,Obesity among adults,34.6,27.5,42.5,%,2898
36005,36005033201,2023,OBESITY,Obesity among adults,31.5,28.0,35.0,%,4103
36005,36005030900,2023,BPHIGH,High blood pressure among adults,35.7,33.0,38.5,%,3947
36001,36001014100,2023,CANCER,Cancer (non-skin) or melanoma among adults,11.0,10.0,12.1,%,5628
36005,36005030201,2023,DIABETES,Diagnosed diabetes among adults,14.7,13.0,16.6,%,4048
36001,36001014201,2023,STROKE,Stroke among adults,2.4,2.2,2.7,%,5959
36005,36005001902,2023,OBESITY,Obesity among adults,36.2,32.4,39.9,%,1613
36005,36005034300,2023,BPHIGH,High blood pressure among adults,30.9,28.4,33.3,%,1706
36005,36005012701,2023,DIABETES,Diagnosed diabetes among adults,19.5,17.3,21.5,%,2184
36001,36001014612,2023,CSMOKING,Current cigarette smoking among adults,8.9,6.7,11.3,%,1675
36005,36005029700,2023,COPD,Chronic obstructive pulmonary disease among adults,4.8,3.7,6.1,%,4005
36005,36005008900,2023,CSMOKING,Current cigarette smoking among adults,12.6,10.7,14.7,%,3118
36005,36005024400,2023,CHD,Coronary heart disease among adults,5.2,4.6,5.8,%,2407
36001,36001014100,2023,STROKE,Stroke among adults,2.9,2.6,3.3,%,5628
36005,36005008300,2023,DIABETES,Diagnosed diabetes among adults,14.6,13.0,16.4,%,6122
36001,36001001901,2023,OBESITY,Obesity among adults,27.7,23.7,32.2,%,2514
36005,36005015200,2023,DIABETES,Diagnosed diabetes among adults,12.0,10.6,13.4,%,2593
36005,36005029600,2023,STROKE,Stroke among adults,1.7,1.6,1.9,%,2878
36001,36001014001,2023,CSMOKING,Current cigarette smoking among adults,11.1,9.0,13.5,%,4200
36001,36001014802,2023,CSMOKING,Current cigarette smoking among adults,9.9,8.4,11.6,%,1826
36005,36005033700,2023,CHD,Coronary heart disease among adults,4.2,3.7,4.7,%,3838
36005,36005025100,2023,OBESITY,Obesity among adults,32.0,28.5,35.6,%,6924
36005,36005035600,2023,COPD,Chronic obstructive pulmonary disease among adults,5.6,4.7,6.5,%,2261
36001,36001013708,2023,DIABETES,Diagnosed diabetes among adults,9.8,8.5,11.3,%,3494
36001,36001013602,2023,BPHIGH,High blood pressure among adults,31.4,28.3,34.5,%,4554
36003,36003950500,2023,STROKE,Stroke among adults,4.2,3.7,4.6,%,3671
36005,36005021601,2023,DIABETES,Diagnosed diabetes among adults,14.7,13.2,16.2,%,4701
36001,36001014801,2023,BPHIGH,High blood pressure among adults,36.9,33.6,40.2,%,2689
36005,36005023800,2023,LPA,No leisure-time physical activity among adults,31.1,27.9,34.6,%,2750
36005,36005013500,2023,LPA,No leisure-time physical activity among adults,44.9,41.0,48.7,%,4001
36005,36005028500,2023,CHD,Coronary heart disease among adults,4.4,3.9,4.9,%,3440
36005,36005025200,2023,DIABETES,Diagnosed diabetes among adults,10.7,9.5,11.9,%,2682
36001,36001002000,2023,CSMOKING,Current cigarette smoking among adults,12.3,10.1,14.7,%,5960
