county_fips,county_name,tract_fips,total_pop,rpl_themes,ep_pov150,ep_unemp,ep_hburd,ep_nohsdp,ep_uninsur,ep_age65,ep_age17,ep_crowd,ep_noveh,ep_noint
36001,Albany County,36001000100,2259,0.8673,48.0,15.2,42.8,22.7,6.0,16.3,28.4,7.2,21.5,14.5
36001,Albany County,36001000201,2465,0.7962,49.2,8.5,41.4,17.3,6.6,12.5,16.9,0.0,31.6,23.7
36001,Albany County,36001000202,2374,0.6734,46.7,5.2,46.8,13.2,2.8,8.2,25.8,0.0,32.6,22.6
36001,Albany County,36001000301,2837,0.7955,39.9,11.0,45.7,15.3,8.5,7.9,23.5,0.0,51.0,15.0
36001,Albany County,36001000302,3200,0.5451,26.6,6.2,47.6,4.3,3.3,19.7,15.3,0.0,19.8,20.9
36001,Albany County,36001000401,2301,0.3305,12.5,2.0,32.4,6.6,3.7,47.3,5.3,0.0,14.8,16.8
36001,Albany County,36001000403,4348,0.3174,22.2,7.2,40.0,11.7,2.4,13.7,10.7,0.0,11.5,13.2
36001,Albany County,36001000404,5126,0.2085,21.7,15.9,33.3,0.0,1.9,0.3,1.8,0.0,33.3,33.3
36001,Albany County,36001000501,3471,0.819,56.0,9.3,49.3,18.2,3.6,9.7,20.1,1.0,37.8,12.5
36001,Albany County,36001000502,3788,0.3914,46.9,6.5,42.1,5.2,5.4,4.4,6.3,0.0,16.5,15.6
36001,Albany County,36001000600,3352,0.9266,62.8,26.4,67.7,23.4,11.7,7.1,18.7,4.9,46.1,16.9
36001,Albany County,36001000700,3733,0.9416,38.3,14.9,52.5,15.9,2.9,16.3,27.7,2.8,44.6,12.5
36001,Albany County,36001000800,1800,0.9645,62.0,28.3,51.5,25.6,5.2,13.6,29.2,9.8,73.9,20.9
36001,Albany County,36001001100,2143,0.7639,45.2,4.4,38.5,11.7,14.4,14.0,5.3,2.0,40.5,29.1
36001,Albany County,36001001400,4054,0.2266,19.7,2.0,24.9,6.6,3.3,13.6,6.2,0.0,30.3,7.3
36001,Albany County,36001001500,5198,0.5771,48.5,3.9,46.0,13.4,2.2,4.0,12.7,0.8,23.5,20.3
36001,Albany County,36001001600,4759,0.4634,29.0,1.9,44.9,8.3,5.4,5.3,14.5,1.0,15.1,11.5
36001,Albany County,36001001700,4223,0.3701,17.6,7.2,35.7,2.3,0.7,16.5,16.4,0.5,14.3,7.9
36001,Albany County,36001001802,4042,0.2638,17.8,4.6,28.8,3.9,2.9,23.0,14.3,0.4,6.5,9.4
